label_ko,20230101-20230630,20230101-20230331,20220701-20220930,20220401-20220630,20220101-20221231,20220101-20220930,20220101-20220630,20220101-20220331,20210701-20210930,20210401-20210630,20210101-20211231,20210101-20210930,20210101-20210630,20210101-20210331,20200701-20200930,20200401-20200630,20200101-20201231,20200101-20200930,20200101-20200630,20200101-20200331,20190701-20190930,20190401-20190630,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180701-20180930,20180401-20180630,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170701-20170930,20170401-20170630,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160701-20160930,20160401-20160630,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150701-20150930,20150401-20150630,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140701-20140930,20140401-20140630,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130701-20130930,20130401-20130630,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120701-20120930,20120401-20120630,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110701-20110930,20110401-20110630,20110101-20111231,20110101-20110930,20110101-20110630,20110101-20110331,20100101-20101231,20090101-20091231,20080101-20081231
수익(매출액),81897767000000.0,42168679000000.0,53711041000000.0,58641288000000.0,211867483000000.0,169076587000000.0,115365546000000.0,56724258000000.0,53919812000000.0,45768634000000.0,199744705000000.0,144730836000000.0,90811024000000.0,45042390000000.0,47801234000000.0,37904100000000.0,166311191000000.0,125793273000000.0,77992039000000.0,40087939000000.0,42204911000000.0,38149674000000.0,154772859000000.0,117392980000000.0,75188069000000.0,37038395000000.0,47645339000000.0,41314723000000.0,170381870000000.0,131567040000000.0,83921701000000.0,42606978000000.0,43074291000000.0,42130809000000.0,161915007000000.0,119783624000000.0,76709333000000.0,34578524000000.0,32583623000000.0,33337425000000.0,133947204000000.0,98635822000000.0,66052199000000.0,32714774000000.0,35820499000000.0,32552308000000.0,135205045000000.0,100062013000000.0,64241514000000.0,31689206000000.0,31002404000000.0,36048184000000.0,137825547000000.0,104176256000000.0,73173852000000.0,37125668000000.0,40804322000000.0,40615603000000.0,158372089000000.0,118006630000000.0,77202308000000.0,36586705000000.0,37219789000000.0,31305522000000.0,141206377000000.0,103704892000000.0,66485103000000.0,35179581000000.0,31612705000000.0,28718600000000.0,120815977000000.0,87321267000000.0,55708562000000.0,26989962000000.0,112249475000000.0,89772834000000.0,72952991000000.0
매출원가,70922059000000.0,37113489000000.0,38689379000000.0,39964268000000.0,152589393000000.0,117838559000000.0,79149180000000.0,39184912000000.0,35634079000000.0,31002588000000.0,135823433000000.0,99774229000000.0,64140150000000.0,33137562000000.0,33462592000000.0,26252598000000.0,116753419000000.0,89436139000000.0,55973547000000.0,29720949000000.0,32735989000000.0,28690721000000.0,113618444000000.0,87878933000000.0,55142944000000.0,26452223000000.0,27578197000000.0,24606173000000.0,101666506000000.0,77380630000000.0,49802433000000.0,25196260000000.0,26678477000000.0,27741036000000.0,101399657000000.0,77361049000000.0,50682572000000.0,22941536000000.0,24777976000000.0,24054073000000.0,97290644000000.0,72621129000000.0,47843153000000.0,23789080000000.0,26362070000000.0,23281164000000.0,99659336000000.0,72879513000000.0,46517443000000.0,23236280000000.0,23464560000000.0,24775362000000.0,99188713000000.0,72909799000000.0,49445239000000.0,24669877000000.0,29117640000000.0,28493322000000.0,110731528000000.0,82742399000000.0,53624759000000.0,25131437000000.0,25778848000000.0,21035003000000.0,99431997000000.0,73777950000000.0,47999102000000.0,26964099000000.0,24161080000000.0,20863181000000.0,90406166000000.0,65283589000000.0,41122509000000.0,20259328000000.0,77980673000000.0,65107368000000.0,55380601000000.0
매출총이익,10975708000000.0,5055190000000.0,15021662000000.0,18677020000000.0,59278090000000.0,51238028000000.0,36216366000000.0,17539346000000.0,18285733000000.0,14766046000000.0,63921272000000.0,44956607000000.0,26670874000000.0,11904828000000.0,14338642000000.0,11651502000000.0,49557772000000.0,36357134000000.0,22018492000000.0,10366990000000.0,9468922000000.0,9458953000000.0,41154415000000.0,29514047000000.0,20045125000000.0,10586172000000.0,20067142000000.0,16708550000000.0,68715364000000.0,54186410000000.0,34119268000000.0,17410718000000.0,16395814000000.0,14389773000000.0,60515350000000.0,42422575000000.0,26026761000000.0,11636988000000.0,7805647000000.0,9283352000000.0,36656560000000.0,26014693000000.0,18209046000000.0,8925694000000.0,9458429000000.0,9271144000000.0,35545709000000.0,27182500000000.0,17724071000000.0,8452926000000.0,7537844000000.0,11272822000000.0,38636834000000.0,31266457000000.0,23728613000000.0,12455791000000.0,11686682000000.0,12122281000000.0,47640561000000.0,35264231000000.0,23577549000000.0,11455268000000.0,11440941000000.0,10270519000000.0,41774380000000.0,29926942000000.0,18486001000000.0,8215482000000.0,7451625000000.0,7855419000000.0,30409811000000.0,22037678000000.0,14586053000000.0,6730634000000.0,34268802000000.0,24665466000000.0,17572390000000.0
판매비와관리비,18582572000000.0,8963951000000.0,8591606000000.0,8518142000000.0,33958761000000.0,25497263000000.0,16905657000000.0,8387515000000.0,7704552000000.0,7047292000000.0,31928110000000.0,22211196000000.0,14506644000000.0,7459352000000.0,7302292000000.0,7003528000000.0,29038798000000.0,21640467000000.0,14338175000000.0,7334647000000.0,6802955000000.0,6661795000000.0,27039348000000.0,20153999000000.0,13351044000000.0,6689249000000.0,6154425000000.0,5658945000000.0,25015913000000.0,18023191000000.0,11868766000000.0,6209821000000.0,6401333000000.0,6462217000000.0,25658259000000.0,18824967000000.0,12423634000000.0,5961417000000.0,5986535000000.0,5629632000000.0,23009124000000.0,17521389000000.0,11534855000000.0,5905223000000.0,5545954000000.0,5345159000000.0,22147494000000.0,16445457000000.0,10899503000000.0,5554343000000.0,5777649000000.0,6100086000000.0,24711840000000.0,18457304000000.0,12679655000000.0,6579569000000.0,6167403000000.0,6074239000000.0,25833556000000.0,18936170000000.0,12768767000000.0,6694528000000.0,6259436000000.0,5649153000000.0,23263944000000.0,16928603000000.0,10669167000000.0,5020014000000.0,2836308000000.0,2649865000000.0,20651728000000.0,8038995000000.0,5202687000000.0,2552822000000.0,21891236000000.0,11170759000000.0,13438320000000.0
영업이익,-7606864000000.0,-3908761000000.0,6430056000000.0,10158878000000.0,25319329000000.0,25740765000000.0,19310709000000.0,9151831000000.0,10581181000000.0,7718754000000.0,31993162000000.0,22745411000000.0,12164230000000.0,4445476000000.0,7036350000000.0,4647974000000.0,20518974000000.0,14716667000000.0,7680317000000.0,3032343000000.0,2665967000000.0,2797158000000.0,14115067000000.0,9360048000000.0,6694081000000.0,3896923000000.0,13912717000000.0,11049605000000.0,43699451000000.0,36163219000000.0,22250502000000.0,11200897000000.0,9994481000000.0,7927556000000.0,34857091000000.0,23597608000000.0,13603127000000.0,5675571000000.0,1819112000000.0,3653720000000.0,13647436000000.0,8493304000000.0,6674191000000.0,3020471000000.0,3912475000000.0,3925985000000.0,13398215000000.0,10737043000000.0,6824568000000.0,2898583000000.0,1760195000000.0,5172736000000.0,13924994000000.0,12809153000000.0,11048958000000.0,5876222000000.0,5519279000000.0,6048042000000.0,21807005000000.0,16328061000000.0,10808782000000.0,4760740000000.0,5181505000000.0,4621366000000.0,18510436000000.0,12998339000000.0,7816834000000.0,3195468000000.0,2586478000000.0,2910176000000.0,9758083000000.0,7946121000000.0,5359643000000.0,2449467000000.0,12377566000000.0,7387134000000.0,4134070000000.0
기타수익,22103342000000.0,8569984000000.0,133133000000.0,144397000000.0,4576378000000.0,560801000000.0,427668000000.0,283271000000.0,169854000000.0,4281927000000.0,7359004000000.0,5809028000000.0,5639174000000.0,1357247000000.0,135317000000.0,220194000000.0,797494000000.0,601880000000.0,466563000000.0,246369000000.0,3095131000000.0,1587978000000.0,5223302000000.0,4938635000000.0,1843504000000.0,255526000000.0,155099000000.0,149327000000.0,972145000000.0,574553000000.0,419454000000.0,270127000000.0,197300000000.0,111470000000.0,2767967000000.0,1075351000000.0,878051000000.0,766581000000.0,514819000000.0,165190000000.0,2185600000000.0,1067176000000.0,552358000000.0,387168000000.0,197310000000.0,466553000000.0,1543190000000.0,940335000000.0,743025000000.0,276473000000.0,238838000000.0,367067000000.0,3507303000000.0,934967000000.0,696129000000.0,329062000000.0,255962000000.0,211211000000.0,3130308000000.0,732892000000.0,476930000000.0,265719000000.0,388439000000.0,477653000000.0,2860100000000.0,2271390000000.0,1882951000000.0,1405298000000.0,,,3160477000000.0,,,,3317617000000.0,,
기타비용,131431000000.0,92240000000.0,50733000000.0,99176000000.0,296344000000.0,204518000000.0,153785000000.0,54609000000.0,51511000000.0,549017000000.0,745978000000.0,649508000000.0,597997000000.0,48980000000.0,234086000000.0,238071000000.0,857242000000.0,635077000000.0,400991000000.0,162920000000.0,101796000000.0,153617000000.0,678565000000.0,440249000000.0,338453000000.0,184836000000.0,86117000000.0,101997000000.0,504562000000.0,228997000000.0,142880000000.0,40883000000.0,149857000000.0,152340000000.0,1065014000000.0,415035000000.0,265178000000.0,112838000000.0,197833000000.0,353952000000.0,1289594000000.0,774040000000.0,576207000000.0,222255000000.0,202224000000.0,61548000000.0,792058000000.0,393912000000.0,191688000000.0,130140000000.0,167919000000.0,237188000000.0,706929000000.0,478178000000.0,310259000000.0,73071000000.0,198574000000.0,103029000000.0,792210000000.0,427304000000.0,228730000000.0,125701000000.0,47492000000.0,71995000000.0,621002000000.0,208916000000.0,161424000000.0,89429000000.0,,,1191742000000.0,,,,736979000000.0,,
금융수익,3982674000000.0,2153358000000.0,3400924000000.0,2489143000000.0,9734299000000.0,7629962000000.0,4229038000000.0,1739895000000.0,1408263000000.0,757914000000.0,3796979000000.0,3086941000000.0,1678678000000.0,920764000000.0,911152000000.0,800092000000.0,5676877000000.0,3330513000000.0,2419361000000.0,1619269000000.0,1104785000000.0,1565306000000.0,4281534000000.0,3313159000000.0,2208374000000.0,643068000000.0,739900000000.0,1290033000000.0,3737494000000.0,2829759000000.0,2089859000000.0,799826000000.0,944769000000.0,656299000000.0,4075602000000.0,2460116000000.0,1515347000000.0,859048000000.0,1250832000000.0,826759000000.0,5803751000000.0,3682881000000.0,2432049000000.0,1605290000000.0,1616605000000.0,1052570000000.0,4917385000000.0,3718146000000.0,2101541000000.0,1048971000000.0,688863000000.0,1400477000000.0,4289118000000.0,2717708000000.0,2028845000000.0,628368000000.0,992000000000.0,1174758000000.0,3918900000000.0,3072753000000.0,2080753000000.0,905995000000.0,636346000000.0,648743000000.0,3204014000000.0,2196094000000.0,1559748000000.0,911005000000.0,1777541000000.0,843380000000.0,4003059000000.0,3197082000000.0,1419541000000.0,761133000000.0,4455961000000.0,6495444000000.0,
금융비용,4477000000000.0,2320148000000.0,3372472000000.0,2433137000000.0,9641742000000.0,7247977000000.0,3875505000000.0,1442368000000.0,1438900000000.0,703711000000.0,3698675000000.0,2999762000000.0,1560862000000.0,857151000000.0,923386000000.0,746609000000.0,5684180000000.0,3317428000000.0,2394042000000.0,1647433000000.0,977630000000.0,1492072000000.0,3908869000000.0,2925982000000.0,1948352000000.0,456280000000.0,834436000000.0,1292378000000.0,3505673000000.0,2787804000000.0,1953368000000.0,660990000000.0,951330000000.0,615280000000.0,4102094000000.0,2445228000000.0,1493898000000.0,878618000000.0,1237124000000.0,776433000000.0,5622119000000.0,3624348000000.0,2387224000000.0,1610791000000.0,1587289000000.0,963141000000.0,4714115000000.0,3524874000000.0,1937585000000.0,974445000000.0,558293000000.0,1222846000000.0,3733845000000.0,2292203000000.0,1733910000000.0,511064000000.0,1086174000000.0,1190329000000.0,3846744000000.0,3045670000000.0,1959496000000.0,769167000000.0,600659000000.0,767577000000.0,3205690000000.0,2131907000000.0,1531248000000.0,763671000000.0,2032648000000.0,802896000000.0,4211603000000.0,3335150000000.0,1302502000000.0,684578000000.0,4350770000000.0,6825540000000.0,
법인세비용차감전순이익(손실),13870721000000.0,4402193000000.0,6540908000000.0,10260105000000.0,29691920000000.0,26479033000000.0,19938125000000.0,9678020000000.0,10668887000000.0,11505867000000.0,38704492000000.0,27992110000000.0,17323223000000.0,5817356000000.0,6925347000000.0,4683580000000.0,20451923000000.0,14696555000000.0,7771208000000.0,3087628000000.0,5786457000000.0,4304753000000.0,19032469000000.0,14245611000000.0,8459154000000.0,4154401000000.0,13887163000000.0,11094590000000.0,44398855000000.0,36550730000000.0,22663567000000.0,11568977000000.0,10035363000000.0,7927705000000.0,36533552000000.0,24272812000000.0,14237449000000.0,6309744000000.0,2149806000000.0,3515284000000.0,14725074000000.0,8844973000000.0,6695167000000.0,3179883000000.0,3936877000000.0,4420419000000.0,14352617000000.0,11476738000000.0,7539861000000.0,3119442000000.0,1961684000000.0,5480246000000.0,17280641000000.0,13691447000000.0,11729763000000.0,6249517000000.0,5482493000000.0,6140653000000.0,24217259000000.0,16660732000000.0,11178239000000.0,5037586000000.0,5558139000000.0,4908190000000.0,20747858000000.0,15125000000000.0,9566861000000.0,4658671000000.0,2331371000000.0,2950660000000.0,11518274000000.0,7808053000000.0,5476682000000.0,2526022000000.0,15063395000000.0,7057038000000.0,5908221000000.0
